movie_name,ranking,score,score_number
二十二,188,8.7,213007
海边的曼彻斯特,189,8.6,352715
惊魂记,190,9.0,164231
房间,191,8.8,285955
虎口脱险,192,8.9,169574
恐怖游轮,193,8.5,564949
奇迹男孩,194,8.6,414413
魔女宅急便,195,8.6,334707
人工智能,196,8.6,314762
雨中曲,197,9.0,147518
疯狂的石头,198,8.5,571921
小偷家族,199,8.7,584124
爱在午夜降临前,200,8.8,228293
罗生门,201,8.8,218475
绿里奇迹,202,8.8,195976
终结者2：审判日,203,8.7,251938
海洋,204,9.1,129943
初恋这件小事,205,8.4,760632
魂断蓝桥,206,8.8,199080
燃情岁月,207,8.8,214186
可可西里,208,8.8,208805
2001太空漫游,209,8.8,199759
穿越时空的少女,210,8.6,294550
牯岭街少年杀人事件,211,8.8,183515
城市之光,212,9.3,88802
完美陌生人,213,8.5,401120
无耻混蛋,214,8.6,351703
新龙门客栈,215,8.6,316451
源代码,216,8.4,603721
阿飞正传,217,8.5,358483
青蛇,218,8.5,366028
色，戒,219,8.5,481731
香水,220,8.5,418229
谍影重重2,221,8.7,259703
地球上的星星,222,8.9,149610
遗愿清单,223,8.6,264629
血钻,224,8.7,253051
谍影重重,225,8.6,310324
战争之王,226,8.6,260844
大佛普拉斯,227,8.7,272182
猜火车,228,8.5,338682
疯狂的麦克斯4：狂暴之路,229,8.6,367256
彗星来的那一夜,230,8.5,359186
步履不停,231,8.8,180411
朗读者,232,8.6,369709
浪潮,233,8.7,203227
小萝莉的猴神大叔,234,8.4,354400
再次出发之纽约遇见你,235,8.5,302707
驴得水,236,8.3,660457
聚焦,237,8.8,208407
九品芝麻官,238,8.5,379214
东京物语,239,9.2,91016
哈利·波特与火焰杯,240,8.5,349150
追随,241,8.9,131562
一次别离,242,8.7,195993
千钧一发,243,8.8,173502
我爱你,244,9.0,109782
黑鹰坠落,245,8.7,209071
网络谜踪,246,8.6,380585
四个春天,247,8.9,118065
波西米亚狂想曲,248,8.7,407065
发条橙,249,8.5,279792
E.T. 外星人,250,8.6,258691
